geoName,Massa,Milei,Bullrich,Bregman,Schiaretti
Buenos Aires,13,21,21,22,23
Catamarca,17,21,15,20,27
Chaco,14,33,17,11,25
Chubut,7,19,21,29,24
Ciudad Autónoma de Buenos Aires,12,17,21,29,21
Corrientes,17,22,16,19,26
Córdoba,12,24,22,18,24
Entre Ríos,15,20,19,24,22
Formosa,12,23,24,14,27
Jujuy,14,31,22,13,20
La Pampa,15,20,14,19,32
La Rioja,25,23,9,18,25
Mendoza,11,24,24,16,25
Misiónes,16,21,21,20,22
Neuquén,14,23,18,21,24
Río Negro,11,20,18,23,28
Salta,11,26,22,17,24
San Juan,11,31,23,15,20
San Luis,16,22,31,16,15
Santa Cruz,11,27,33,24,5
Santa Fe,13,23,22,20,22
Santiago del Estero,16,15,24,29,16
Tierra del Fuego,10,27,22,16,25
Tucumán,14,24,20,22,20
